Country,ISO3C,Region,BFP year,Years since BFP
Botswana,BWA,Africa,2019,5
Madagascar,MDG,Africa,2022,2
Mozambique,MOZ,Africa,2021,3
Rwanda,RWA,Africa,2019,5
South Africa,ZAF,Africa,2018,6
Tanzania,TZA,Africa,2022,2
Uganda,UGA,Africa,2019,5
Zambia,ZMB,Africa,2018,6
Bhutan,BTN,Asia and the Pacific,2019,5
Cambodia,KHM,Asia and the Pacific,2021,3
Fiji,FJI,Asia and the Pacific,2018,6
India,IND,Asia and the Pacific,2019,5
Indonesia,IDN,Asia and the Pacific,2018,6
Malaysia,MYS,Asia and the Pacific,2018,6
Mongolia,MNG,Asia and the Pacific,2017,7
Nepal,NPL,Asia and the Pacific,2022,2
Philippines,PHL,Asia and the Pacific,2018,6
Sri Lanka,LKA,Asia and the Pacific,2018,6
Thailand,THA,Asia and the Pacific,2018,6
Thailand,THA,Asia and the Pacific,2020,4
Vietnam,VNM,Asia and the Pacific,2019,5
Georgia,GEO,Europe and Central Asia,2018,6
Kazakhstan,KAZ,Europe and Central Asia,2018,6
Kyrgyzstan,KGZ,Europe and Central Asia,2019,5
Belize,BLZ,Latin America and Caribbean,2019,5
Brazil,BRA,Latin America and Caribbean,2019,5
Colombia,COL,Latin America and Caribbean,2018,6
Costa Rica,CRI,Latin America and Caribbean,2018,6
Cuba,CUB,Latin America and Caribbean,2019,5
Ecuador,ECU,Latin America and Caribbean,2024,0
Guatemala,GTM,Latin America and Caribbean,2016,8
Mexico,MEX,Latin America and Caribbean,2018,6
Peru,PER,Latin America and Caribbean,2019,5
